season,round,id,abbr,type,totalPoints,nnTotalPoints
2025,11,HAA_BEA,BEA,driver,14,14
2025,11,HAA_OCO,OCO,driver,20,20
2025,11,KCK_BOR,BOR,driver,25,25
2025,11,KCK_HUL,HUL,driver,20,20
2025,11,MCL_NOR,NOR,driver,36,36
2025,11,MCL_PIA,PIA,driver,39,39
2025,11,MER_ANT,ANT,driver,-18,2
2025,11,MER_RUS,RUS,driver,22,22
2025,11,RED_LAW,LAW,driver,-25,0
2025,11,RED_TSU,TSU,driver,6,6
2025,11,RED_VER,VER,driver,-15,5
2025,11,VRB_HAD,HAD,driver,6,6
2025,11,VRB_LAW,LAW,driver,13,13
2025,11,VRB_TSU,TSU,driver,-25,0
2025,11,WIL_ALB,ALB,driver,-19,1
2025,11,WIL_SAI,SAI,driver,-20,0
2025,12,ALP_COL,COL,driver,-20,0
2025,12,ALP_DOO,DOO,driver,-25,0
2025,12,ALP_GAS,GAS,driver,15,15
2025,12,AST_ALO,ALO,driver,4,6
2025,12,AST_STR,STR,driver,22,22
2025,12,FER_HAM,HAM,driver,24,24
2025,12,FER_LEC,LEC,driver,2,10
2025,12,HAA_BEA,BEA,driver,14,14
2025,12,HAA_OCO,OCO,driver,4,4
2025,12,KCK_BOR,BOR,driver,-20,0
2025,12,KCK_HUL,HUL,driver,45,45
2025,12,MCL_NOR,NOR,driver,37,37
2025,12,MCL_PIA,PIA,driver,38,38
2025,12,MER_ANT,ANT,driver,-16,4
2025,12,MER_RUS,RUS,driver,8,14
2025,12,RED_LAW,LAW,driver,-25,0
2025,12,RED_TSU,TSU,driver,0,4
2025,12,RED_VER,VER,driver,21,25
2025,12,VRB_HAD,HAD,driver,-20,0
2025,12,VRB_LAW,LAW,driver,-18,2
2025,12,VRB_TSU,TSU,driver,-25,0
2025,12,WIL_ALB,ALB,driver,12,12
2025,12,WIL_SAI,SAI,driver,-1,2
2025,13,ALP_COL,COL,driver,-2,2
2025,13,ALP_DOO,DOO,driver,-45,0
2025,13,ALP_GAS,GAS,driver,-14,6
2025,13,AST_ALO,ALO,driver,7,7
2025,13,AST_STR,STR,driver,9,9
2025,13,FER_HAM,HAM,driver,40,40
2025,13,FER_LEC,LEC,driver,30,30
2025,13,HAA_BEA,BEA,driver,7,7
2025,13,HAA_OCO,OCO,driver,3,7
2025,13,KCK_BOR,BOR,driver,7,7
2025,13,KCK_HUL,HUL,driver,7,8
2025,13,MCL_NOR,NOR,driver,39,40
2025,13,MCL_PIA,PIA,driver,42,43
2025,13,MER_ANT,ANT,driver,21,21
2025,13,MER_RUS,RUS,driver,19,19
2025,13,RED_LAW,LAW,driver,-45,0
2025,13,RED_TSU,TSU,driver,0,6
2025,13,RED_VER,VER,driver,30,30
2025,13,VRB_HAD,HAD,driver,-7,5
2025,13,VRB_LAW,LAW,driver,9,9
2025,13,VRB_TSU,TSU,driver,-45,0
2025,13,WIL_ALB,ALB,driver,14,15
2025,13,WIL_SAI,SAI,driver,6,7
2025,14,ALP_COL,COL,driver,-4,0
2025,14,ALP_DOO,DOO,driver,-25,0
2025,14,ALP_GAS,GAS,driver,0,3
2025,14,AST_ALO,ALO,driver,17,17
2025,14,AST_STR,STR,driver,13,14
2025,14,FER_HAM,HAM,driver,4,4
2025,14,FER_LEC,LEC,driver,20,23
2025,14,HAA_BEA,BEA,driver,-18,2
2025,14,HAA_OCO,OCO,driver,6,6
2025,14,KCK_BOR,BOR,driver,24,24
2025,14,KCK_HUL,HUL,driver,14,14
2025,14,MCL_NOR,NOR,driver,36,36
2025,14,MCL_PIA,PIA,driver,29,29
2025,14,MER_ANT,ANT,driver,10,10
2025,14,MER_RUS,RUS,driver,37,37
2025,14,RED_LAW,LAW,driver,-25,0
2025,14,RED_TSU,TSU,driver,3,3
2025,14,RED_VER,VER,driver,11,12
2025,14,VRB_HAD,HAD,driver,4,5
2025,14,VRB_LAW,LAW,driver,10,10
2025,14,VRB_TSU,TSU,driver,-25,0
2025,14,WIL_ALB,ALB,driver,12,12
2025,14,WIL_SAI,SAI,driver,6,7
2025,15,ALP_COL,COL,driver,11,11
2025,15,ALP_DOO,DOO,driver,-25,0
2025,15,ALP_GAS,GAS,driver,0,3
2025,15,AST_ALO,ALO,driver,13,13
2025,15,AST_STR,STR,driver,21,26
2025,15,FER_HAM,HAM,driver,-16,4
2025,15,FER_LEC,LEC,driver,-13,7
2025,15,HAA_BEA,BEA,driver,27,27
2025,15,HAA_OCO,OCO,driver,15,15
2025,15,KCK_BOR,BOR,driver,0,2
2025,15,KCK_HUL,HUL,driver,8,8
2025,15,MCL_NOR,NOR,driver,-5,11
2025,15,MCL_PIA,PIA,driver,45,45
2025,15,MER_ANT,ANT,driver,1,6
2025,15,MER_RUS,RUS,driver,19,19
2025,15,RED_LAW,LAW,driver,-25,0
2025,15,RED_TSU,TSU,driver,11,11
2025,15,RED_VER,VER,driver,29,29
2025,15,VRB_HAD,HAD,driver,33,33
2025,15,VRB_LAW,LAW,driver,0,4
2025,15,VRB_TSU,TSU,driver,-25,0
2025,15,WIL_ALB,ALB,driver,27,27
2025,15,WIL_SAI,SAI,driver,1,5
2025,16,ALP_COL,COL,driver,0,0
2025,16,ALP_DOO,DOO,driver,-25,0
2025,16,ALP_GAS,GAS,driver,5,5
2025,16,AST_ALO,ALO,driver,-15,5
2025,16,AST_STR,STR,driver,-1,1
2025,16,FER_HAM,HAM,driver,26,26
2025,16,FER_LEC,LEC,driver,21,21
2025,16,HAA_BEA,BEA,driver,3,4
2025,16,HAA_OCO,OCO,driver,1,1
2025,16,KCK_BOR,BOR,driver,13,14
2025,16,KCK_HUL,HUL,driver,-20,0
2025,16,MCL_NOR,NOR,driver,37,37
2025,16,MCL_PIA,PIA,driver,25,25
2025,16,MER_ANT,ANT,driver,6,9
2025,16,MER_RUS,RUS,driver,19,19
2025,16,RED_LAW,LAW,driver,-25,0
2025,16,RED_TSU,TSU,driver,0,4
2025,16,RED_VER,VER,driver,46,46
2025,16,VRB_HAD,HAD,driver,12,12
2025,16,VRB_LAW,LAW,driver,6,6
2025,16,VRB_TSU,TSU,driver,-25,0
2025,16,WIL_ALB,ALB,driver,15,15
2025,16,WIL_SAI,SAI,driver,3,3
2025,17,ALP_COL,COL,driver,1,4
2025,17,ALP_DOO,DOO,driver,-25,0
2025,17,ALP_GAS,GAS,driver,5,5
2025,17,AST_ALO,ALO,driver,-3,1
2025,17,AST_STR,STR,driver,-2,1
2025,17,FER_HAM,HAM,driver,12,12
2025,17,FER_LEC,LEC,driver,6,6
2025,17,HAA_BEA,BEA,driver,6,6
2025,17,HAA_OCO,OCO,driver,6,11
2025,17,KCK_BOR,BOR,driver,7,7
2025,17,KCK_HUL,HUL,driver,4,4
2025,17,MCL_NOR,NOR,driver,12,12
2025,17,MCL_PIA,PIA,driver,-16,4
2025,17,MER_ANT,ANT,driver,22,22
2025,17,MER_RUS,RUS,driver,30,30
2025,17,RED_LAW,LAW,driver,-25,0
2025,17,RED_TSU,TSU,driver,15,15
2025,17,RED_VER,VER,driver,45,45
2025,17,VRB_HAD,HAD,driver,4,6
2025,17,VRB_LAW,LAW,driver,17,19
2025,17,VRB_TSU,TSU,driver,-25,0
2025,17,WIL_ALB,ALB,driver,13,13
2025,17,WIL_SAI,SAI,driver,33,34
2025,18,ALP_COL,COL,driver,3,3
2025,18,ALP_DOO,DOO,driver,-25,0
2025,18,ALP_GAS,GAS,driver,2,2
2025,18,AST_ALO,ALO,driver,30,30
2025,18,AST_STR,STR,driver,10,10
2025,18,FER_HAM,HAM,driver,17,19
2025,18,FER_LEC,LEC,driver,16,16
2025,18,HAA_BEA,BEA,driver,6,6
2025,18,HAA_OCO,OCO,driver,2,3
2025,18,KCK_BOR,BOR,driver,-1,2
2025,18,KCK_HUL,HUL,driver,-8,1
2025,18,MCL_NOR,NOR,driver,25,25
2025,18,MCL_PIA,PIA,driver,19,20
2025,18,MER_ANT,ANT,driver,17,18
2025,18,MER_RUS,RUS,driver,35,35
2025,18,RED_LAW,LAW,driver,-25,0
2025,18,RED_TSU,TSU,driver,4,4
2025,18,RED_VER,VER,driver,27,27
2025,18,VRB_HAD,HAD,driver,3,6
2025,18,VRB_LAW,LAW,driver,3,6
